agent_id,current_link,current_link_enter_time,current_time,link_geometry,agent_position,duration
1000019,3384,3665.0,4200,"LINESTRING(-122.8637454 38.1008669, -122.8634773 38.1009832)",POINT (-122.86361135 38.10092505),2.0
1000003,16367,3666.0,4200,"LINESTRING(-122.8690004 38.1102148, -122.8688613 38.110294, -122.8687915 38.110736349999996)",POINT (-122.8688539033241 38.11044650885023),5.0
1000019,26319,3667.0,4200,"LINESTRING(-122.8634773 38.1009832, -122.8623556 38.1013297)",POINT (-122.86291645 38.10115645),8.0
1000001,9278,3676.0,4200,"LINESTRING(-122.8537173 38.0977276, -122.8533781 38.0974597)",POINT (-122.8535477 38.09759365),4.0
1000019,22052,3675.0,4200,"LINESTRING(-122.8623556 38.1013297, -122.8620711 38.1006177)",POINT (-122.86221335 38.1009737),7.0
1000003,31986,3671.0,4200,"LINESTRING(-122.8687915 38.110736349999996, -122.8682789 38.11069, -122.8678593 38.1107372, -122.8670887 38.1112102)",POINT (-122.8679071425183 38.11084121778072),12.0
1000001,10119,3680.0,4200,"LINESTRING(-122.8533781 38.0974597, -122.8530228 38.0971759)",POINT (-122.85320045 38.0973178),4.0
1000013,15436,3681.0,4200,"LINESTRING(-122.881567 38.109523, -122.882239 38.109486)",POINT (-122.881903 38.1095045),5.0
1000020,31953,3674.0,4200,"LINESTRING(-122.8583136 38.0972703, -122.8579741 38.0973512, -122.8576357 38.097382, -122.8571962 38.0973014, -122.8568538 38.0972164, -122.8565983 38.0970633)",POINT (-122.8574399041399 38.09729037854409),12.0
1000002,3384,3687.0,4200,"LINESTRING(-122.8637454 38.1008669, -122.8634773 38.1009832)",POINT (-122.86361135 38.10092505),2.0
1000003,23105,3683.0,4200,"LINESTRING(-122.8670887 38.1112102, -122.8668876 38.1110562, -122.8668272 38.1108931, -122.8670452 38.1105444)",POINT (-122.8669355479647 38.11089703582064),7.0
1000001,20673,3684.0,4200,"LINESTRING(-122.8530228 38.0971759, -122.8521974 38.0974296)",POINT (-122.8526101 38.09730275),6.0
1000001,3255,3690.0,4200,"LINESTRING(-122.8521974 38.0974296, -122.85204995 38.097194349999995)",POINT (-122.852123675 38.097311975),2.0
1000020,27426,3686.0,4200,"LINESTRING(-122.8565983 38.0970633, -122.8565595 38.09706, -122.8553138 38.09697)",POINT (-122.8559560688365 38.09701641049237),9.0
1000013,30528,3686.0,4200,"LINESTRING(-122.882239 38.109486, -122.8812669 38.1084546)",POINT (-122.88175295 38.1089703),11.0
1000002,26319,3689.0,4200,"LINESTRING(-122.8634773 38.1009832, -122.8623556 38.1013297)",POINT (-122.86291645 38.10115645),8.0
1000001,20545,3692.0,4200,"LINESTRING(-122.85204995 38.097194349999995, -122.85161065 38.096499300000005)",POINT (-122.8518303 38.096846825),6.0
1000013,11754,3697.0,4200,"LINESTRING(-122.8812669 38.1084546, -122.881455 38.1080438)",POINT (-122.88136095 38.1082492),4.0
1000002,22052,3697.0,4200,"LINESTRING(-122.8623556 38.1013297, -122.8620711 38.1006177)",POINT (-122.86221335 38.1009737),7.0
1000019,37381,3682.0,4200,"LINESTRING(-122.8620711 38.1006177, -122.8613196 38.1008328, -122.8609449 38.1009079, -122.8605465 38.1009565, -122.8602791 38.101212, -122.8602522 38.1012377, -122.8589668 38.1017113)",POINT (-122.8605041191348 38.10111908828239),24.0
1000003,35292,3690.0,4200,"LINESTRING(-122.8670452 38.1105444, -122.8691477 38.1093932)",POINT (-122.86809645 38.1099688),17.0
1000019,6757,3706.0,4200,"LINESTRING(-122.8589668 38.1017113, -122.8587377 38.1014486)",POINT (-122.85885225 38.10157995),3.0
1000010,5841,3706.0,4200,"LINESTRING(-122.8620082 38.105654, -122.8618114 38.1052691)",POINT (-122.8619098 38.10546155),3.0
1000021,24175,3705.0,4200,"LINESTRING(-122.855656 38.0986514, -122.8548368 38.0981257)",POINT (-122.8552464 38.09838855),7.0
